candidate_id,rank,score,reasoning
CAND_0028793,1,1.8769,"Ranked by XGBoost student ranker: semantic fit 0.912, 7.2y exp, assessment 80."
CAND_0027801,2,1.8633,"Ranked by XGBoost student ranker: semantic fit 0.898, 7.4y exp, assessment 67."
CAND_0083852,3,1.8582,"Ranked by XGBoost student ranker: semantic fit 0.857, 6.0y exp, assessment 69."
CAND_0028287,4,1.8557,"Ranked by XGBoost student ranker: semantic fit 0.869, 5.7y exp, assessment 73."
CAND_0089947,5,1.8422,"Ranked by XGBoost student ranker: semantic fit 0.890, 5.4y exp, assessment 79."
CAND_0076163,6,1.8364,"Ranked by XGBoost student ranker: semantic fit 0.892, 6.9y exp, assessment 70."
CAND_0081053,7,1.8336,"Ranked by XGBoost student ranker: semantic fit 0.894, 5.4y exp, assessment 86."
CAND_0011125,8,1.8329,"Ranked by XGBoost student ranker: semantic fit 0.880, 6.6y exp, assessment 86."
CAND_0029948,9,1.8242,"Ranked by XGBoost student ranker: semantic fit 0.852, 6.3y exp, assessment 68."
CAND_0035721,10,1.8222,"Ranked by XGBoost student ranker: semantic fit 0.861, 7.2y exp, assessment 68."
CAND_0018549,11,1.8128,"Ranked by XGBoost student ranker: semantic fit 0.907, 6.8y exp, assessment 72."
CAND_0015929,12,1.8121,"Ranked by XGBoost student ranker: semantic fit 0.857, 7.2y exp, assessment 76."
CAND_0020877,13,1.8046,"Ranked by XGBoost student ranker: semantic fit 0.902, 5.1y exp, assessment 75."
CAND_0026532,14,1.8045,"Ranked by XGBoost student ranker: semantic fit 0.901, 4.8y exp, assessment 77."
CAND_0048379,15,1.804,"Ranked by XGBoost student ranker: semantic fit 0.864, 6.5y exp, assessment 70."
CAND_0015528,16,1.8027,"Ranked by XGBoost student ranker: semantic fit 0.914, 7.4y exp, assessment 65."
CAND_0004972,17,1.7989,"Ranked by XGBoost student ranker: semantic fit 0.887, 6.0y exp, assessment 68."
CAND_0052827,18,1.7963,"Ranked by XGBoost student ranker: semantic fit 0.868, 5.9y exp, assessment 78."
CAND_0060538,19,1.7919,"Ranked by XGBoost student ranker: semantic fit 0.879, 5.2y exp, assessment 72."
CAND_0062413,20,1.7909,"Ranked by XGBoost student ranker: semantic fit 0.893, 6.6y exp, assessment 66."
CAND_0020350,21,1.7852,"Ranked by XGBoost student ranker: semantic fit 0.897, 5.8y exp, assessment 62."
CAND_0005260,22,1.7772,"Ranked by XGBoost student ranker: semantic fit 0.907, 5.2y exp, assessment 81."
CAND_0081959,23,1.7761,"Ranked by XGBoost student ranker: semantic fit 0.862, 5.9y exp, assessment 74."
CAND_0043959,24,1.7746,"Ranked by XGBoost student ranker: semantic fit 0.831, 5.3y exp, assessment 67."
CAND_0054123,25,1.7717,"Ranked by XGBoost student ranker: semantic fit 0.908, 4.7y exp, assessment 72."
CAND_0087630,26,1.7703,"Ranked by XGBoost student ranker: semantic fit 0.915, 7.2y exp, assessment 68."
CAND_0007567,27,1.7701,"Ranked by XGBoost student ranker: semantic fit 0.883, 6.1y exp, assessment 77."
CAND_0095528,28,1.7671,"Ranked by XGBoost student ranker: semantic fit 0.902, 5.3y exp, assessment 69."
CAND_0091745,29,1.7667,"Ranked by XGBoost student ranker: semantic fit 0.870, 5.9y exp, assessment 75."
CAND_0058688,30,1.7641,"Ranked by XGBoost student ranker: semantic fit 0.904, 6.7y exp, assessment 67."
CAND_0072263,31,1.761,"Ranked by XGBoost student ranker: semantic fit 0.885, 6.7y exp, assessment 57."
CAND_0097079,32,1.7607,"Ranked by XGBoost student ranker: semantic fit 0.861, 5.7y exp, assessment 59."
CAND_0082026,33,1.7566,"Ranked by XGBoost student ranker: semantic fit 0.849, 6.0y exp, assessment 80."
CAND_0062009,34,1.7543,"Ranked by XGBoost student ranker: semantic fit 0.870, 5.9y exp, assessment 68."
